"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000280527.7",0.693128835303369,0.979419685189525,1.04603354053558,-0.946432995770564,-0.894191175357045,-0.877957889900868,"ENST00000280527"
"ENST00000334047.12",0.73268104807262,0.886699987182281,1.08734357098874,-1.07076705198263,-0.747605011165514,-0.888352543095495,"ENST00000334047"
"ENST00000397752.8",-1.08028678324048,-0.92081573337767,-0.673411524790946,0.728167895623009,1.20472827751453,0.741617868271558,"ENST00000397752"
"ENST00000409687.5",-0.983219105128008,-0.967896209983156,-0.739755326715358,0.600146726506706,1.087074283332,1.00364963198781,"ENST00000409687"
"ENST00000257831.8",-0.993511947744525,-0.985208878423589,-0.736159319704147,0.833427622023135,1.07457978387428,0.806872739974849,"ENST00000257831"
"ENST00000643233.1",-1.04681039016503,-0.860152574334772,-0.775773502545811,0.577070628964761,1.13213048209077,0.973535355990082,"ENST00000643233"
"ENST00000563307.2",-1.02693116008077,-0.857583563253466,-0.821191328949185,0.743877591843446,1.15101464175441,0.810813818685572,"ENST00000563307"
"ENST00000254051.11",-0.956568021062563,-0.918174799102097,-0.849050343077831,0.741406479521679,1.0479124943583,0.934474189362511,"ENST00000254051"
"ENST00000339394.7",-1.03569869894137,-0.873410403489508,-0.800352433091534,0.685406067547754,1.06558475398275,0.958470713991906,"ENST00000339394"
"ENST00000310786.10",-0.993406893719133,-0.893275040455244,-0.80576650522391,0.760123460819047,1.21234859527661,0.719976383302634,"ENST00000310786"
"ENST00000360270.7",-0.895059663885414,-0.882454436509597,-0.894857897166987,0.615800678847514,1.27870374865908,0.777867570055409,"ENST00000360270"
"ENST00000464592.6",0.730632457344361,1.00013986801962,0.993245124238819,-0.963866433518453,-0.905138214136008,-0.855012801948339,"ENST00000464592"
"ENST00000358598.6",-0.915366240310919,-0.989943964148121,-0.774582420412329,0.651565166325782,1.23837831668828,0.789949141857312,"ENST00000358598"
"ENST00000380629.7",-0.98919263284562,-0.890997207273098,-0.855092731727785,0.886290269930953,0.952259643677916,0.896732658237633,"ENST00000380629"
"ENST00000589123.5",-1.01006022411212,-0.854688169401123,-0.838213329018012,0.636110083023043,1.08870241614167,0.978149223366539,"ENST00000589123"
"ENST00000379454.9",-1.03531336879063,-0.963737406498086,-0.671799171909086,0.586663950363159,1.16844980865229,0.915736188182347,"ENST00000379454"
"ENST00000355476.8",-0.973412205557357,-0.963583163486248,-0.753594132464678,0.654575176191702,1.1837271386706,0.852287186645984,"ENST00000355476"
"ENST00000379751.5",-1.00761679027046,-0.938125977148361,-0.756845595090707,0.657141384958997,1.08617162249545,0.959275355055087,"ENST00000379751"
"ENST00000373622.9",-1.02449624116607,-0.853775246964185,-0.835856798650606,0.698273053211092,1.04914213765647,0.966713095913297,"ENST00000373622"
