"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000374690.9",0.641304090541615,5.36270753091447,9.36407018885848,9.78288434576285e-05,0.023466908361336,2.11503956148694
"ENST00000261622.5",-1.35482548821503,8.9340553992883,-10.0753631342956,6.51701843955819e-05,0.0203673584283609,2.10823799072332
"ENST00000389629.9",-0.6105583696693,5.9655560380293,-9.39484030442859,9.60705848779324e-05,0.0233524107917506,2.10583775350952
"ENST00000393597.7",-1.16167021350103,4.52139423623718,-9.37044135221318,9.74617368230553e-05,0.023466908361336,2.10546282321951
"ENST00000580666.6",-0.780386397729002,4.7342438475502,-9.30748771799813,0.000101160557214483,0.0240215902142783,2.08121216668571
"ENST00000267889.5",1.27988222951556,3.16941940092462,9.6802761631432,8.13962032966067e-05,0.0210536371607371,2.07571176257661
"ENST00000373873.8",0.643311335035339,6.56240204327819,9.4240778056325,9.4433820473581e-05,0.0233313892138158,2.07240879418302
"ENST00000543571.6",-0.865538001491564,5.4041859737854,-9.28801864092662,0.000102337280039619,0.0240215902142783,2.06939243592365
"ENST00000426151.7",0.967166825426989,5.54710377309866,9.29510409223962,0.000101907200849185,0.0240215902142783,2.0690664084984
"ENST00000295092.3",1.01716383134071,3.87779669108176,9.40592172345183,9.54463809245728e-05,0.0233313892138158,2.06820539290842
"ENST00000649427.1",-0.886535185719722,4.48083608355679,-9.29636793020909,0.000101830708002131,0.0240215902142783,2.06403406781047
"ENST00000355841.7",-0.788470699951623,5.06181159961397,-9.24737045198514,0.000104845695314457,0.0243570017284791,2.05065747917759
"ENST00000262844.10",-0.792837347193082,5.43829000574802,-9.21234984031228,0.000107064216728024,0.0245251075414415,2.0227359932768
"ENST00000362003.10",-0.690076659443521,5.82160770974798,-9.2422573684239,0.000105166252785763,0.0243570017284791,2.02215311471255
"ENST00000580732.6",1.52741454291978,4.07779724752095,9.21065577890362,0.000107172908330368,0.0245251075414415,1.98020572457718
"ENST00000367313.4",-0.805388364886151,6.00537603548724,-9.1820132385387,0.000109030159343225,0.0247430600614095,1.97291769743992
"ENST00000518498.3",0.894173319064952,6.23922878444687,9.20087555216437,0.000107802921695314,0.0245664891390004,1.96587676403078
"ENST00000553947.1",-1.93462299565157,2.380523443837,-10.0047145110163,6.77736517662165e-05,0.0207735137930181,1.96513647071773
"ENST00000338206.6",1.61821925501109,2.57257979978736,9.78209813496304,7.68041952769214e-05,0.0210028752404269,1.95879999037253
"ENST00000305798.8",1.70829379266202,2.39523898146196,9.9085021181177,7.15161250594403e-05,0.0207735137930181,1.94987510939074
"ENST00000249075.4",-1.32546678837374,3.29354334812952,-9.34047661570388,9.92023610228267e-05,0.0236924695592159,1.93964316629478
"ENST00000271732.8",0.639752746436736,5.47521973885716,9.07861655021444,0.000116052703187909,0.0257287432153551,1.93927693266633
"ENST00000372310.8",-0.823331267030811,4.88769688871048,-9.05528980866963,0.00011770878181442,0.0257509147799771,1.937259220719
"ENST00000265000.9",0.806635481505128,5.86341516948971,9.06330030072794,0.000117137004692156,0.0257287432153551,1.9085800751372
"ENST00000262241.7",-0.643598991184176,6.14818430364698,-9.07076568784209,0.000116607036528519,0.0257287432153551,1.89006101039442
"ENST00000333371.8",1.08243215409137,4.38039771172774,8.97051538007067,0.000123962702265182,0.0265295106021788,1.87357607039963
"ENST00000540564.5",0.747869772827181,5.00854472631322,8.94569627406648,0.00012586603668662,0.0265530336856635,1.87099959383562
"ENST00000335997.11",-0.778331933097848,5.70927898929867,-8.98458480062015,0.000122898582588492,0.0264628711768889,1.86921864993633
"ENST00000256367.3",-0.781017848055113,5.79197737205804,-8.96681980850177,0.000124243981842448,0.0265295106021788,1.85266779596734
"ENST00000519836.5",-2.47677453555115,3.64497243908247,-9.0975229198831,0.000114730268604469,0.0257287432153551,1.84431455756887
"ENST00000392650.8",0.859758284957162,4.86932151033987,8.89257927564547,0.000130054598969878,0.0266855552328304,1.83974358226964
"ENST00000519676.6",-0.622660625560624,5.13959268830772,-8.88768963681558,0.000130448238642557,0.0266855552328304,1.83301000646395
"ENST00000422906.6",-1.37432062667527,2.0725694760291,-9.84611515995307,7.40712888517872e-05,0.0207735137930181,1.8287521508474
"ENST00000262843.11",0.612636882391546,5.67764037120124,8.88050983385467,0.000131028755563536,0.0266855552328304,1.80434660326592
"ENST00000332408.9",0.998082072910226,3.61851263424561,8.96132884734715,0.000124663282102683,0.0265295106021788,1.80252593564339
"ENST00000526429.1",0.875501189671297,4.91404091604663,8.80934092249861,0.000136948144049114,0.0272362468884879,1.78882146158201
"ENST00000445369.3",-1.05489723252777,4.49921530385526,-8.81581014897363,0.000136397437052078,0.0272362468884879,1.78794841969137
"ENST00000326840.11",-1.15871443409945,4.30614831453385,-8.81127663967844,0.00013678309192743,0.0272362468884879,1.77686827494102
"ENST00000438495.6",-1.44543805101764,3.45481948047745,-8.93006550436136,0.000127082136131226,0.0265530336856635,1.75672043622916
"ENST00000329841.10",-1.41662750193062,3.3964450253077,-8.90817370286176,0.000128808347574409,0.0266847960058317,1.73725299466873
"ENST00000454872.6",1.38116876139627,2.30478766006343,9.40764529768232,9.53497177651024e-05,0.0233313892138158,1.73492809824795
"ENST00000370828.4",0.766332163670199,4.3978856509339,8.72477091262263,0.000144389930512571,0.0279053132340226,1.73163328316605
"ENST00000382040.4",-1.33967379586627,3.25571116509437,-8.92886608356133,0.000127176014925823,0.0265530336856635,1.72746684565214
"ENST00000371817.8",-0.774484634412161,6.12298872364455,-8.81409928765434,0.000136542827588573,0.0272362468884879,1.72744666154428
"ENST00000303714.9",-2.08815316813436,2.00787163018816,-9.81257574550107,7.54887407715877e-05,0.0207735137930181,1.7207739168553
